,,,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
96,Washington,Pac-12 (North),2,0,1.000,,,,46.5,10.5,24.32,4.32,7,8,7,
97,Washington State,Pac-12 (North),2,0,1.000,,,,39.0,22.0,28.50,13.00,20,24,20,
98,Oregon State,Pac-12 (North),1,2,.333,,,,25.3,46.0,3.86,17.53,,,,
99,USC,Pac-12 (South),2,0,1.000,1,0,1.000,45.5,27.5,43.06,25.06,6,4,4,
100,Colorado,Pac-12 (South),2,0,1.000,,,,27.0,3.0,36.96,17.96,,,,
101,UCLA,Pac-12 (South),2,0,1.000,,,,50.5,33.5,31.40,15.90,,,,
102,Utah,Pac-12 (South),2,0,1.000,,,,28.0,14.5,19.25,5.25,,,,
103,Arizona,Pac-12 (South),1,1,.500,,,,39.0,21.5,24.00,15.50,,,,
104,Arizona State,Pac-12 (South),1,1,.500,,,,28.5,30.5,21.80,23.30,,,,
105,South Carolina,SEC (East),2,0,1.000,1,0,1.000,33.0,20.5,45.31,32.81,,,,
106,Missouri,SEC (East),1,1,.500,0,1,.000,42.5,37.0,25.65,22.65,,,,
107,Georgia,SEC (East),2,0,1.000,,,,25.5,14.5,42.20,28.20,15,15,15,
108,Kentucky,SEC (East),2,0,1.000,,,,25.5,16.5,17.67,8.67,,,,
109,Tennessee,SEC (East),2,0,1.000,,,,42.0,24.0,26.33,10.83,25,25,25,
110,Vanderbilt,SEC (East),2,0,1.000,,,,35.0,3.0,31.25,8.25,,,,
111,Florida,SEC (East),0,1,.000,,,,17.0,33.0,17.99,33.99,22,17,17,
112,Alabama,SEC (West),2,0,1.000,,,,32.5,8.5,47.96,27.46,1,1,1,
113,LSU,SEC (West),2,0,1.000,,,,36.0,5.0,29.25,5.25,12,13,12,
114,Mississippi State,SEC (West),2,0,1.000,,,,53.0,10.5,32.00,8.00,,,,
115,Ole Miss,SEC (West),2,0,1.000,,,,46.0,25.0,26.82,5.82,,,,
116,Arkansas,SEC (West),1,1,.500,,,,28.0,17.5,17.00,15.50,,,,
117,Auburn,SEC (West),1,1,.500,,,,23.5,10.5,17.60,9.60,13,12,12,
118,Texas A&M,SEC (West),1,1,.500,,,,34.0,29.5,17.20,15.70,,,,
119,Coastal Carolina,Sun Belt,1,0,1.000,,,,38.0,28.0,16.40,6.40,,,,
120,Appalachian State,Sun Belt,1,1,.500,,,,32.0,19.0,22.60,21.10,,,,
121,Georgia Southern,Sun Belt,0,2,.000,,,,9.5,31.5,-8.20,8.80,,,,
122,Idaho,Sun Belt,1,1,.500,,,,22.0,25.0,4.33,5.33,,,,
123,Louisiana-Lafayette,Sun Belt,1,1,.500,,,,46.5,57.0,2.15,10.65,,,,
124,New Mexico State,Sun Belt,1,1,.500,,,,30.5,32.5,20.20,20.20,,,,
125,Texas State,Sun Belt,1,1,.500,,,,11.5,24.0,10.98,18.48,,,,
126,Troy,Sun Belt,1,1,.500,,,,23.5,15.5,19.50,13.00,,,,
127,Arkansas State,Sun Belt,0,1,.000,,,,36.0,43.0,9.98,16.98,,,,
128,Georgia State,Sun Belt,0,1,.000,,,,10.0,17.0,-7.00,0.00,,,,
129,Louisiana-Monroe,Sun Belt,0,1,.000,,,,29.0,37.0,0.00,8.00,,,,
130,South Alabama,Sun Belt,0,2,.000,,,,17.0,45.5,11.65,33.65,,,,
