,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
100,Kyle Bolin\kyle-bolin-1,Rutgers,Big Ten,3,52,88,59.1,516,5.9,4.5,3,4,110.5,5,-14,-2.8,0
101,Richard Lagow\richard-lagow-1,Indiana,Big Ten,2,43,75,57.3,434,5.8,4.8,3,3,111.1,10,-21,-2.1,0
102,Josh Love\josh-love-1,San Jose State,MWC,3,35,70,50.0,403,5.8,4.7,3,3,103.9,7,-22,-3.1,0
103,Thomas Woodson\thomas-woodson-1,Akron,MAC,3,52,84,61.9,477,5.7,5.3,3,2,116.6,12,-22,-1.8,0
104,Elijah Sindelar\elijah-sindelar-1,Purdue,Big Ten,3,23,47,48.9,263,5.6,5.4,4,2,115.5,1,-8,-8.0,0
105,Chayce Crouch\chayce-crouch-1,Illinois,Big Ten,3,32,62,51.6,328,5.3,3.4,1,3,91.7,28,56,2.0,1
106,Brandon Wimbush\brandon-wimbush-1,Notre Dame,Ind,3,48,94,51.1,490,5.2,4.7,2,2,97.6,49,314,6.4,6
107,Tanner Mangum\tanner-mangum-1,Brigham Young,Ind,3,49,90,54.4,466,5.2,3.6,2,4,96.4,14,-26,-1.9,0
108,Max Browne\max-browne-1,Pitt,ACC,3,43,66,65.2,338,5.1,4.1,1,2,107.1,12,-41,-3.4,0
109,Ryan Metz\ryan-metz-1,UTEP,CUSA,3,28,51,54.9,259,5.1,5.5,1,0,104.0,6,-25,-4.2,1
110,Sam Glaesmann\sam-glaesmann-1,Rice,CUSA,3,22,45,48.9,229,5.1,3.5,1,2,90.1,19,35,1.8,1
111,Anthony Brown\anthony-brown-11,Boston College,ACC,3,61,111,55.0,525,4.7,3.2,5,6,98.7,12,14,1.2,0
112,Tyler Keane\tyler-keane-1,Coastal Carolina,Sun Belt,2,16,33,48.5,153,4.6,1.2,1,3,79.2,4,17,4.3,0
113,Hayden Moore\hayden-moore-1,Cincinnati,American,3,56,111,50.5,505,4.5,3.8,5,4,96.3,20,56,2.8,0
114,Jon Wassink\jon-wassink-1,Western Michigan,MAC,3,43,79,54.4,358,4.5,3.6,1,2,91.6,21,53,2.5,3
115,Hasaan Klugh\hasaan-klugh-1,Charlotte,CUSA,3,33,76,43.4,317,4.2,2.3,4,5,82.7,41,189,4.6,2
116,Caleb Evans\caleb-evans-2,Louisiana-Monroe,Sun Belt,2,18,38,47.4,160,4.2,4.7,1,0,91.4,20,98,4.9,2
117,Shai Werts\shai-werts-1,Georgia Southern,Sun Belt,2,15,30,50.0,101,3.4,0.4,0,2,64.9,54,140,2.6,0
