,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
380,CJ Windham\cj-windham-1,Middle Tennessee State,CUSA,3,6,54,9.0,0,0,0,,0,6,54,9.0,0
381,Justin Rankin\justin-rankin-1,Kent State,MAC,3,6,54,9.0,1,21,86,4.1,0,27,140,5.2,1
382,Ky'Jon Tyler\kyjon-tyler-1,Coastal Carolina,Sun Belt,2,6,54,9.0,0,4,10,2.5,0,10,64,6.4,0
383,Teddy Veal\teddy-veal-1,Louisiana Tech,CUSA,3,15,133,8.9,0,0,0,,0,15,133,8.9,0
384,Anthony Muse\anthony-muse-1,New Mexico State,Sun Belt,3,12,107,8.9,0,0,0,,0,12,107,8.9,0
385,Antwan Davis\antwan-davis-2,Ball State,MAC,3,8,71,8.9,0,0,0,,0,8,71,8.9,0
386,Malik Turner\malik-turner-1,Illinois,Big Ten,3,11,97,8.8,0,0,0,,0,11,97,8.8,0
387,Shi Smith\shi-smith-1,South Carolina,SEC,3,8,70,8.8,0,0,0,,0,8,70,8.8,0
388,Donnie Ernsberger\donnie-ernsberger-1,Western Michigan,MAC,3,6,53,8.8,0,0,0,,0,6,53,8.8,0
389,Ervin Phillips\ervin-phillips-1,Syracuse,ACC,3,16,139,8.7,1,2,13,6.5,0,18,152,8.4,1
390,Charles Standberry\charles-standberry-1,Louisville,ACC,3,7,61,8.7,1,0,0,,0,7,61,8.7,1
391,John Diarse\john-diarse-1,Texas Christian,Big 12,3,7,61,8.7,0,0,0,,0,7,61,8.7,0
392,Ryan Schadler\ryan-schadler-1,Kansas,Big 12,2,7,61,8.7,0,1,33,33.0,1,8,94,11.8,1
393,Corey Lacanaria\corey-lacanaria-1,Ball State,MAC,3,9,77,8.6,0,0,0,,0,9,77,8.6,0
394,Deondre Farrier\deondre-farrier-1,East Carolina,American,2,9,77,8.6,0,0,0,,0,9,77,8.6,0
395,Josh Adams\josh-adams-2,Notre Dame,Ind,3,8,69,8.6,0,56,443,7.9,2,64,512,8.0,2
396,Xavier Brown\xavier-brown-2,Louisiana-Monroe,Sun Belt,2,7,60,8.6,1,0,0,,0,7,60,8.6,1
397,Jaylen Samuels\jaylen-samuels-1,North Carolina State,ACC,3,26,220,8.5,2,8,38,4.8,3,34,258,7.6,5
398,Ty Lee\ty-lee-1,Middle Tennessee State,CUSA,3,13,111,8.5,1,27,70,2.6,1,40,181,4.5,2
399,Thomas Hennigan\thomas-hennigan-1,Appalachian State,Sun Belt,3,12,102,8.5,1,0,0,,0,12,102,8.5,1
400,Ron'Quavion Tarver\ronquavion-tarver-1,Utah State,MWC,3,14,118,8.4,1,0,0,,0,14,118,8.4,1
401,K.J. Hill\kj-hill-1,Ohio State,Big Ten,3,15,124,8.3,0,1,0,0.0,0,16,124,7.8,0
402,C.J. Duncan\cj-duncan-1,Vanderbilt,SEC,3,12,100,8.3,1,0,0,,0,12,100,8.3,1
403,Jonathan Haden\jonathan-haden-1,UAB,CUSA,3,6,49,8.2,0,12,67,5.6,0,18,116,6.4,0
404,James Williams\james-williams-13,Washington State,Pac-12,3,27,220,8.1,2,28,122,4.4,0,55,342,6.2,2
405,Walter Dawn\walter-dawn-1,UTEP,CUSA,3,7,57,8.1,0,20,85,4.3,1,27,142,5.3,1
406,Rueben Mwehla\rueben-mwehla-1,Idaho,Sun Belt,3,11,88,8.0,2,0,0,,0,11,88,8.0,2
407,Dom Williams\dom-williams-2,Kansas,Big 12,3,6,48,8.0,0,32,110,3.4,3,38,158,4.2,3
408,Giovanni Ricci\giovanni-ricci-1,Western Michigan,MAC,2,9,71,7.9,0,0,0,,0,9,71,7.9,0
409,Evan Butts\evan-butts-1,Virginia,ACC,2,8,63,7.9,0,0,0,,0,8,63,7.9,0
410,Emanuel Thompson\emanuel-thompson-1,Troy,Sun Belt,3,14,109,7.8,0,0,0,,0,14,109,7.8,0
411,Ito Smith\ito-smith-1,Southern Mississippi,CUSA,3,14,109,7.8,0,60,333,5.6,2,74,442,6.0,2
412,Joe Reed\joe-reed-4,Virginia,ACC,3,9,70,7.8,1,2,7,3.5,0,11,77,7.0,1
413,Blake Mack\blake-mack-1,Arkansas State,Sun Belt,2,8,62,7.8,2,0,0,,0,8,62,7.8,2
414,Penny Hart\penny-hart-1,Georgia State,Sun Belt,2,12,92,7.7,0,2,9,4.5,0,14,101,7.2,0
415,Rashaad Penny\rashaad-penny-1,San Diego State,MWC,3,9,69,7.7,1,71,588,8.3,4,80,657,8.2,5
416,Cameron Smith\cameron-smith-2,Notre Dame,Ind,2,7,54,7.7,0,1,12,12.0,0,8,66,8.3,0
