,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
113,Western Kentucky,3,20.0,24.3,36.3,67.0,242.7,0.3,32.3,85.7,2.6,2.3,68.7,328.3,4.8,10.0,7.0,2.3,19.3,5.7,49.0,0.7,0.3,1.0
114,Buffalo,3,19.0,13.3,24.7,54.1,196.0,1.0,34.3,157.3,4.6,1.3,59.0,353.3,6.0,8.3,8.0,1.0,17.3,4.7,43.3,0.7,0.3,1.0
115,San Jose State,4,18.0,18.0,35.0,51.4,212.8,1.8,37.5,113.0,3.0,0.3,72.5,325.8,4.5,8.5,6.8,1.0,16.3,7.3,57.0,1.5,1.5,3.0
116,Boston College,3,17.7,22.7,41.3,54.8,189.7,1.7,45.0,158.3,3.5,0.0,86.3,348.0,4.0,9.7,10.3,1.0,21.0,4.7,38.0,0.7,2.0,2.7
117,East Carolina,3,17.0,20.7,43.3,47.7,287.0,1.3,30.3,85.7,2.8,0.7,73.7,372.7,5.1,12.0,4.0,4.0,20.3,7.3,68.0,1.0,2.0,3.0
118,Florida International,2,17.0,19.5,32.0,60.9,264.5,0.5,33.0,135.5,4.1,1.5,65.0,400.0,6.2,11.5,7.0,1.0,19.5,9.5,96.5,2.0,0.5,2.5
119,Charlotte,3,15.0,11.7,27.7,42.2,114.0,1.3,36.3,180.7,5.0,0.7,64.0,294.7,4.6,5.7,9.0,1.0,15.7,8.3,72.7,0.7,2.3,3.0
120,Bowling Green State,3,14.7,19.0,41.3,46.0,237.3,0.7,29.3,108.0,3.7,0.3,70.7,345.3,4.9,11.0,5.3,1.0,17.3,7.0,63.3,1.0,0.7,1.7
121,Wyoming,3,14.3,18.3,32.3,56.7,189.3,0.7,30.3,80.3,2.6,0.7,62.7,269.7,4.3,9.0,4.3,1.3,14.7,5.0,49.0,0.3,1.0,1.3
122,Kent State,3,13.7,5.3,12.7,42.1,74.3,0.7,47.0,185.0,3.9,1.0,59.7,259.3,4.3,3.3,8.0,0.7,12.0,10.7,97.0,0.7,0.3,1.0
123,Rice,3,13.7,10.3,22.3,46.3,113.0,0.3,40.7,193.7,4.8,1.3,63.0,306.7,4.9,6.0,10.3,0.3,16.7,4.0,30.3,1.3,0.7,2.0
124,Middle Tennessee State,3,13.0,21.7,36.3,59.6,206.3,1.3,24.7,71.3,2.9,0.3,61.0,277.7,4.6,9.7,4.3,1.7,15.7,6.3,57.3,0.7,1.3,2.0
125,UTEP,3,12.3,17.3,33.0,52.5,166.0,0.7,19.7,45.3,2.3,1.0,52.7,211.3,4.0,7.3,3.0,1.3,11.7,3.7,33.3,1.0,0.3,1.3
126,Texas State,3,12.0,16.3,27.0,60.5,174.0,0.3,41.7,145.3,3.5,0.7,68.7,319.3,4.7,7.7,7.0,2.0,16.7,5.3,51.0,0.7,1.0,1.7
127,Brigham Young,4,9.8,15.0,27.5,54.5,144.3,0.5,24.5,77.5,3.2,0.5,52.0,221.8,4.3,6.8,3.0,1.0,10.8,5.3,44.3,0.0,1.5,1.5
128,Georgia Southern,2,9.5,7.5,15.5,48.4,50.5,0.0,52.0,151.5,2.9,0.5,67.5,202.0,3.0,2.5,10.0,2.0,14.5,4.0,32.5,0.5,1.0,1.5
129,Florida State,1,7.0,19.0,33.0,57.6,210.0,1.0,27.0,40.0,1.5,0.0,60.0,250.0,4.2,10.0,4.0,1.0,15.0,4.0,30.0,1.0,2.0,3.0
130,Georgia State,2,5.0,18.0,27.5,65.5,197.0,0.5,39.0,99.5,2.6,0.0,66.5,296.5,4.5,8.5,5.5,3.0,17.0,4.5,38.0,2.5,2.0,4.5
